Name,Description,NumberOfCheckboxes,NumberAlreadyCompleted,SectionID,GameID,ListOrder,LongDescription,Hidden
Gardener,"""I feel this gardener aura inside of me.""  Earned by maxing out skills for Garden Flipper DLC",11,5,1,0,8,,
Vegan,"""Tell the meatatarians my last word is… Carrot…""  Earned by planting over 50 carrots.",11,5,1,0,9,,
Let's Swim,"""Bath time?""  Fill a pond 15 times. A single or multiple ponds may be used.",11,5,1,0,10,,
Whac A Mole,"""Your time has come, Mr. Mole...""  Earned by removing all the molehills present during one of the Garden Flipper DLC maps.",11,5,1,1,11,,
Don Quixote,"""Is the hammer even real?""  Earned by installing a ""Wooden Pedro Windmill"", then hitting it with your hammer.",11,5,1,0,12,,
Down to the Last Penny,"""Care to do something more with all that's left?""  Earned by using the entire budget on a job.",12,5,1,0,1,,
Truly Open Space,"""Must have: lots of space""  Earned by tearing down all the walls during one of your jobs. This does not have to be completed in an HGTV home, It can be done on any property that has been purchased to flip.",12,5,1,0,2,,
All the Possibilities!,"""On the other hand…""  Earned by re-doing an HGTV job and choosing the opposite choices you chose last time.",12,5,1,0,4,,
Chimney Sweeper,"""Can you hear it?""  Earned by turning on the covered fireplace in the job ""Uninvited Guests"".",12,5,1,0,5,,
Modern Solutions,"""Can't have a leak when there are no pipes!""  Earned in an HGTV job where you must bust a wall that has a connecting pipe behind it and sell the pipe instead of attempting to fix it.",12,5,1,0,6,,
Time Warp,"""Let's do the time warp again!""  Earned by opening your portfolio and looking at your before and after photos.",12,5,1,0,7,,
Oliver's Way,"""Now we're talking!""  Obtained by selecting Oliver's option three times in the same HGTV assignment.",12,5,1,0,8,,
Greta's Touch,"""This place could use a woman's touch!""  Obtained by selecting Greta's option three times in the same HGTV assignment.",12,5,1,0,9,,
Homer's House,"""I will not click on the map""  Earned by clicking on the house that looks like the Simpsons' home on the HGTV map.",12,5,1,0,10,,
Renovator,"""Fix them all!""  Earned by completing all the jobs available on the HGTV map.",12,5,1,0,11,,
Beach Please,"""Happiness is a day at the beach."" (Secret) Earned by moving your office to beach front property.",12,5,1,0,12,,
I hope there's no cellar,"""Now, who's in for a pool party?""  Place in-door pool first time.",13,5,1,0,1,,
Windows update,"""Replace 10 windows"" ",13,5,1,0,2,,
The furnisher,"""One man's trash is another man's treasure""  Fix a furniture first time.",13,5,1,0,3,,
I fixed it!,"""All it takes is a good smack with a hammer""  Earned by 'fixing' the yacht wheel (second floor) by hitting it with the hammer",13,5,1,0,4,,
Panorama,"""Take a picture of the city from the Cliff House""  Earned by taking a picture of the city, as stated, from the Cliff House. Best location to earn the achievement seems to be by the pool.",13,5,1,0,5,,
Luxury is always in style,"""Finish all jobs in Moonrise Bay""",13,5,1,0,6,,
I am rich,"""Purchase one of the houses from Luxury DLC""",13,5,1,0,7,,
"The Wi-Fi password, anyone?","""The next step is to hire a butler""  Move your office to one of house of Luxury DLC.",13,5,1,0,8,,
You are too creative!,"""If we allowed you to do this, the game would crash""  Attempt to sell the 'decision bubble' which is used to view the inspirations (the images that help you select what to use to fulfill the job).",13,5,1,0,11,,
What's in the box?,"""Tons of cuteness to say the least!""  Complete the first Stowaway mission from Alice Finbar",14,5,1,0,1,,
A journey full of fluffiness,"""Morgan is proud of you.""  Complete all the jobs on the Pet DLC Map",14,5,1,0,2,,
Welcome to Cozy Village,"""Hope you enjoy the countryside.""  Move your office to one of the houses added with the Pet DLC",14,5,1,0,3,,
Caretaker,"""Feels like the beginning of something special.""  Buy a pet from Morgan's pet house",14,5,1,0,4,,
"Fresh, clean, and dry","""Now your pup can get all dirty again.""  Buy a special bath and bathe your pet in it",14,5,1,0,5,,
Versatile caretaker,"""You're not gonna stop here, are you?""  Give shelter to three different animals in Morgan's pet house",14,5,1,0,8,,
The floor is your canvas,"""Now, that's not a happy little accident.""  Clean up feces with a mop",14,5,1,1,9,,
Teamwork,"""A helping paw is never a bad thing, eh?""  Take your pet with you on a job using the pet interaction menu",14,5,1,0,10,,
They grow up so fast...,"""It feels like we've met yesterday!""  Reach the adulthood of your pet",14,5,1,0,11,,
Picture perfect,"""It's hard to get a good photo when they move around so quickly.""  Take a picture of your pet using the tablet",14,5,1,0,12,,
Old McDonald,"""Is there an animal you haven't got?""  Purchase at least one of each type of farm animal.",15,5,1,0,1,,
Drone master,"""Making photos, watering, spraying… Everything on the fly!""  Get all three of the perks associated with the ""High Tech Farmer"" branch of the farming skill tree.",15,5,1,0,2,,
The bigger the better,"""House extensions are just too much fun!""  Use the architecture tool to build a new building or house extension.",15,5,1,0,3,,
Music to my ears,"""Your house, your rules, your radio.""  Buy one of the new boomboxes added by the dlc and press E while selecting it to open the music folder.",15,5,1,0,4,,
A long day in the countryside,"""Hard work pays off!""  Complete all the jobs on the Farm DLC Map",15,5,1,0,5,,
Talented roofer,"""Show your true colors!""  Use the sell tool to change a roof. Can be earned during the ""Mae Delicious"" job.",15,5,1,0,6,,
Free spirit,"""Finally, nothing limits your imagination!""  Buy one of the land parcel properties (Like A Painting, Spruce Hideout, and Country Idyll) and make it your office.",15,5,1,0,7,,
Captain Hook,"""Hope you're not afraid of heights!""",15,5,1,0,8,,
Don't hold your horses,"""Ride like the wind!""  Jump with a horse over an obstacle",15,5,1,0,9,,
Hardworking farmer,"""Your efforts have yielded a harvest.""  Plant and harvest at least one of every crop.",15,5,1,0,10,,
They're all in one basket,"""Still looking for a golden egg?""  Use the pantry tab on the tablet to take out 20 eggs and place them in the game world. Baskets of eggs can be combined and added to in order to get the achievement.",15,5,1,0,11,,
Just don't get lost!,"""Fancy an afternoon snack with a Minotaur?""  Solve the corn maze in the ""Grandpa's Surprise"" job. The entrance is to the left of the house. The drone can be used to get a bird's eye view of the maze and objects can be placed to mark where you've been before.",15,5,1,0,12,,
Appetite comes with eating,"""That was just the appetizer!""  Cook a meal in the universal cooker.",16,5,1,0,1,,
Land in hot water,"""Keep your eyes down - there's no floor!""  Fall down the hole to the floor below in the Cloud-high Surprise job.",16,5,1,0,2,,
The way to one's heart…,"""... is through the stomach. Would you like some more?""  Complete 5 Dine Out DLC jobs.",16,5,1,0,3,,
Don't judge a restaurant by its sign,"""A great lure for customers""  Create a custom restaurant sign.",16,5,1,0,4,,
The cherry on top,"""Everyone has the restaurant of their dreams.""  Complete all 10 Dine Out DLC jobs.",16,5,1,0,5,,
5 Flipper stars,"""The art of cooking holds no secrets for me.""  Make 5 recipes with the universal cooker.",16,5,1,0,6,,
Why live on bread and water?,"Earn 50,000 by renting houses.",16,5,1,0,7,,
Property manager,Rent out 5 properties,16,5,1,0,8,,
"Table, Deck Yourself!",Create 10 table layouts.,16,5,1,0,9,,
Flavours Hunter,"Unlock all the recipes for the universal cooker. These can be found in the Dine Out DLC jobs, and unlocked using perk points.",16,5,1,0,10,,
Do it ASAP,"Complete order below 1min. Easily earned by quickly doing the first task - Ex-boyfriend Stole the Radiator from my house, 100% not required. (Note: this will reset the 100% bar on your tasks, so either get the ""perfectionist"" achievment first or go back and fully complete the order again.)",8,5,1,0,1,,
Dedicated (Platinum),Collect all trophies,1,0,79,7,1,,
Superior (Gold),100% complete all districts,1,0,79,7,2,,
Heal the World (Gold),Finish the main story,1,0,79,7,3,,
To the Max (Silver),Purchase all Gadget upgrades,1,0,79,7,4,,
Kitted Out (Silver),Purchase all suits,1,0,79,7,5,,
Amazing (Silver),Reach max level,1,0,79,7,6,,
Friendly Neighborhood Spider-Man (Silver),Complete all FNSM requests,1,0,79,7,7,,
Foundational (Silver),Complete all EMF Experiments,1,0,79,7,8,,
Evolved (Silver),Defeat 100 enemies with Evolved Venom abilities,1,0,79,7,9,,
Armed and Dangerous (Silver),Defeat 100 enemies with Spider Arm abilities,1,0,79,7,10,,
Fully Loaded (Bronze),Purchase all of Spider-Man's Suit Tech upgrades,1,0,79,7,11,,
Brooklyn Pride (Bronze),"Complete ""A Gift""",1,0,79,7,12,,
My Community (Bronze),"Complete ""Hard Bop""",1,0,79,7,13,,
Funky Wireless Protocols (Bronze),Solve the mystery of the Spider-Bots' origin,1,0,79,7,14,,
Stylish (Bronze),Equip a suit style,1,0,79,7,15,,
Slack Line (Bronze),Stealth takedown 25 enemies in stealth from the Web Line,1,0,79,7,16,,
Hang Ten (Bronze),Perform 30 Air Tricks in a row without touching the ground,1,0,79,7,17,,
Home Run! (Bronze),Round the bases at the Big Apple Ballers Stadium,1,0,79,7,18,,
Just Let Go (Bronze),"As Miles, find the science trophy Miles and Phin won together",1,0,79,7,19,,
You Know What to Do (Bronze),"As Peter, visit Aunt May's grave",1,0,79,7,20,,
Soar (Bronze),"Using only your Web Wings, glide from the Financial District to Astoria (Wind Tunnels are okay!)",1,0,79,7,21,,
Splat (Bronze),"Attempt and fail a trick before ""landing"" on the ground",1,1,79,7,22,,
A New Adventure (Bronze),Help Howard,1,0,79,7,23,,
Resourceful (Bronze),"Collect a total of 10,000 Tech Parts",1,0,79,7,24,,
Co-Signing (Bronze),Complete all Tech Stashes,1,0,79,7,25,,
"New York, New York (Bronze)",Complete all Photo Ops,1,0,79,7,26,,
You're Gonna Need Help (Bronze),"Complete ""Surface Tension""",1,1,80,7,1,,
A New Suit (Bronze),Acquire the Black Suit,1,0,80,7,2,,
Medicine (Silver),"Complete ""It Chose You""",1,0,80,7,3,,
Another Way (Bronze),"Complete ""No Escape""",1,0,80,7,4,,
The Great Hunt (Silver),"Complete ""Anything Can Be Broken""",1,0,80,7,5,,
Leave Us Alone (Silver),"Complete ""Don't Be Scared""",1,0,80,7,6,,
I Quit (Bronze),"Complete ""This Isn't You""",1,0,80,7,7,,
Behind the Masks (Silver),"Complete ""Grand Finale"" (Complete all Mysteriums)",1,0,80,7,8,,
Crimson Hour (Silver),"Complete ""It Was Meant for Me"" (last mission in The Flame side story)",1,0,80,7,9,,
Data Collector (Silver),"Complete ""Target Identified"" (Complete all Unidentified Targets)",1,0,80,7,10,,
Seek and Destroy (Silver),Complete all Hunter Bases,1,0,80,7,11,,
Exterminator (Silver),Complete all Symbiote Nests,1,0,80,7,12,,
Antidote (Bronze),Defeat a Symbiote that is under the effect of Anti-Venom status,1,0,80,7,13,,
"Once More, With Feeling (Platinum)",Finish the main story in New Game+ mode,1,0,80,7,14,,
Grains of Sand (Silver),Piece together broken memories,1,0,80,7,15,,
Surge (Silver),Use Symbiote Abilities 25 times during Symbiote Surge,1,0,80,7,16,,
Overdrive (Bronze),"As Miles, use Reverse Flux to pull 6 or more enemies together simultaneously",1,0,80,7,17,,
So what's next?,Tutorial is complete,1,1,35,1,1,,
Hail the Magic weed!,Scarecrow quest is complete,1,1,35,1,2,,
Let the light in!,Turn on the light in the Tavern,1,1,35,1,3,,
"No pay, no food!",A zombie wave has been repelled,1,1,35,1,4,,
I should not drink at work,Drink alcohol,1,1,35,1,5,,
It's much more comfortable this way,A decorative element is placed,1,1,35,1,6,,
Say no to alcohol!,A drunken customer was chased away,1,1,35,1,7,,
The wild boar population is under threat,Killed 25 boars,1,1,35,1,8,,
Wet work,Washed 50 dishes,1,1,35,1,9,,
Full pockets,Broke 50 loot crates,1,1,35,1,10,,
It's a little burnt,The first dish is cooked,1,1,35,1,11,,
Almost not burnt,50 dishes cooked,1,1,35,1,12,,
I'll feed the whole world!,100 dishes cooked,1,1,35,1,13,,
Only male deer grow antlers,Forest spirit quest is complete,1,1,35,1,14,,
Too smart to become a sausage,Cow quest is complete,1,1,35,1,15,,
Don't look under the pot,Herbalist quest is complete,1,1,35,1,16,,
Talking fish!,Mermaid quest is complete,1,1,35,1,17,,
High price for natural urges,Coachman quest is complete,1,1,35,1,18,,
"Wanted to fry the meat, but fried the house",Hermit quest is complete,1,0,35,1,19,,
Fake fairy,Fairy quest is complete,1,0,35,1,20,,
I need a vacation,All quests are complete,1,0,35,1,21,,
You are a new dungeon master!,Kill the cave boss,1,0,35,1,22,,
"Go home, fiend",Killed 25 enemies,1,1,35,1,23,,
"I said, go home, fiend",Killed 50 enemies,1,1,35,1,24,,
Fiend! Disappear,Killed 100 enemies,1,0,35,1,25,,
Gardener of the month,Harvested 25 plants,1,1,35,1,26,,
Gardener of the year,Harvested 50 plants,1,1,35,1,27,,
The greatest gardener in history.,Harvested 100 plants,1,1,35,1,28,,
Culinary,Served 100 dishes,1,1,35,1,29,,
Culimator!,Served 250 dishes,1,1,35,1,30,,
Culinosaurs Rex!,Served 500 dishes,1,1,35,1,31,,
And where is the goldfish?,Caught 10 fish,1,1,35,1,32,,
I still need my 3 wishes,Caught 25 fish,1,0,35,1,33,,
Middle class,Earned 1000 money,1,1,35,1,34,,
Wealthy,Earned 10000 money,1,1,35,1,35,,
Oligarch! Why do you need so much?,Earned 100000 money,1,1,35,1,36,,
Why do all potions smell so bad?,Created 10 potions,1,1,35,1,37,,
The smell doesn’t matter when the potion’s done right,Created 25 potions,1,0,35,1,38,,
It's not about the cabbage?,10 animals were born,1,1,35,1,39,,
It’s not about the cabbage...,25 animals were born,1,1,35,1,40,,
Dad taught me,Fixed 5 devices,1,1,35,1,41,,
Golden hands,Fixed 10 devices,1,1,35,1,42,,
Got a bunch of blisters,Delivered 10 orders,1,1,35,1,43,,
Wore my feet out,Delivered 25 orders,1,0,35,1,44,,
The classic 33 misfortunes,Died 33 times,1,1,35,1,45,,
"Yeah, I'm going, I'm going!",100 bell rings,1,1,35,1,46,,
Now it's not scary!,All torches in the cave were fired,1,0,35,1,47,,
"Guys, calm down, it's just me, and there are many of you!",20 simultaneous customers,1,0,35,1,48,,
Ready for the school of mages!,Created all the potions,1,0,35,1,49,,
Looks like I'm going to live forever,Big MaxHP potion + Physical damage resist potion,1,0,35,1,50,,
It was worth it,Ate an amanita,1,1,35,1,51,,
Invisible walls. Not surprising!,Reached the map border,1,1,35,1,52,,
I let the music speak,Bought a jukebox,1,1,35,1,53,,
The afterlife exists,Die,1,1,35,1,54,,
"Is that you, Rapunzel?",Jump to someone in the tower,1,0,35,1,55,,
The wait wasn't that long,Give the dish to the customer at the last moment (5 seconds),1,0,35,1,56,,
2-cycle Beetle,Scuttle ~ Mythical ~ Spring,1,0,18,2,1,,
Ace Bug,Scuttle ~ Mythical ~ Spring,1,0,18,2,2,,
Adderbolt,Flying ~ Mythical ~ Winter,1,0,18,2,3,,
Assistant to the Pope,Flying ~ Mythical ~ Summer,1,0,18,2,4,,
Babelly Fly,Flying ~ Common ~ Spring,1,0,18,2,5,,
Big Dreamer,Ground ~ Uncommon ~ Spring,1,0,18,2,6,,
Bright Beetle,Scuttle ~ Legendary ~ Spring,1,0,18,2,7,,
Burly Man-mollusk,Ground ~ Mythical ~ Summer,1,0,18,2,8,,
Bursting Fly,Flying ~ Legendary ~ Spring,1,0,18,2,9,,
Candelabug,Halloween ~ Common ~ Fall Festival,1,0,18,2,10,,
Celestial Beetle,Scuttle ~ Mythical ~ Winter,1,0,18,2,11,,
Chrome Beetle,Scuttle ~ Rare ~ Winter,1,0,18,2,12,,
Cloud of Pain,Flying ~ Legendary ~ Spring,1,0,18,2,13,,
Corrupted Northeastern Son,Scuttle ~ Mythical ~ Winter,1,0,18,2,14,,
Crystal Spider,Scuttle ~ Mythical ~ Winter,1,0,18,2,15,,
Damselfly,Flying ~ Legendary ~ Winter,1,0,18,2,16,,
Darner,Flying ~ Uncommon ~ Spring,1,0,18,2,17,,
Demon Skeeter,Flying ~ Rare ~ Spring,1,0,18,2,18,,
Depressed Dawdler,Ground ~ Mythical ~ Spring,1,0,18,2,19,,
Ear Sewer,Flying ~ Rare ~ Spring,1,0,18,2,20,,
Eye Stitcher,Flying ~ Mythical ~ Spring,1,0,18,2,21,,
Fab Beetle,Scuttle ~ Mythical ~ Spring,1,0,18,2,22,,
Fecundfly,Flying ~ Mythical ~ Spring,1,0,18,2,23,,
Foreclosed Snail,Ground ~ Rare ~ Spring,1,0,18,2,24,,
Gated Commune Crab,Scuttle ~ Mythical ~ Summer,1,0,18,2,25,,
Gom Jabbar,Flying ~ Mythical ~ Spring,1,0,18,2,26,,
Grubby Hubby,Ground ~ Legendary ~ Spring,1,0,18,2,27,,
Headless Beetle,Halloween ~ Common ~ Fall Festival,1,0,18,2,28,,
Hopefull Catterpillar,Ground ~ Common ~ Spring,1,0,18,2,29,,
Imp Parasite,Halloween ~ Common ~ Fall Festival,1,0,18,2,30,,
Jack-o’-bug,Halloween ~ Common ~ Fall Festival,1,0,18,2,31,,
Jocularidus,Scuttle ~ Uncommon ~ Spring,1,0,18,2,32,,
Joy Bug,Scuttle ~ Common ~ Spring,1,0,18,2,33,,
Kouldabeen Great Midge,Flying ~ Mythical ~ Summer,1,0,18,2,34,,
Lady Grey Bug,Scuttle ~ Mythical ~ Fall,1,0,18,2,35,,
Leaf Bug,Scuttle ~ Common ~ Spring,1,0,18,2,36,,
Lost Resurrection Beetle,Scuttle ~ Legendary ~ Winter,1,0,18,2,37,,
Maine State Bird,Flying ~ Uncommon ~ Spring,1,0,18,2,38,,
Maker Worm,Ground ~ Mythical ~ Spring,1,0,18,2,39,,
Medusa Crawler,Halloween ~ Common ~ Fall Festival,1,0,18,2,40,,
Misguided Stabber,Flying ~ Mythical ~ Winter,1,0,18,2,41,,
Misunderstood Baby Butterfly,Ground ~ Mythical ~ Spring,1,0,18,2,42,,
Mosquito Hawk,Flying ~ Common ~ Winter,1,0,18,2,43,,
Night Flapper,Halloween ~ Common ~ Fall Festival,1,0,18,2,44,,
Nipper Vamp,Flying ~ Mythical ~ Fall,1,0,18,2,45,,
Not-out-as-a-leaf-bug,Scuttle ~ Uncommon ~ Spring,1,0,18,2,46,,
One-eyed Leech,Halloween ~ Common ~ Fall Festival,1,0,18,2,47,,
One-Percent Grub,Ground ~ Mythical ~ Winter,1,0,18,2,48,,
Oracle of the veil,Ground ~ Mythical ~ Winter,1,0,18,2,49,,
Orney Chub Fly,Flying ~ Rare ~ Winter,1,0,18,2,50,,
Pimply Highschooler,Ground ~ Legendary ~ Spring,1,0,18,2,51,,
Plant-fluid Bug,Scuttle ~ Rare ~ Spring,1,0,18,2,52,,
Poly-Leafed Bug,Scuttle ~ Legendary ~ Spring,1,0,18,2,53,,
Rite of Spring Fly,Flying ~ Rare ~ Spring,1,0,18,2,54,,
Roman Holiday Bug,Scuttle ~ Legendary ~ Spring,1,0,18,2,55,,
Sacrifice to the Great Chicadees,Ground ~ Mythical ~ Fall,1,0,18,2,56,,
Scroll Mimic,Halloween ~ Common ~ Fall Festival,1,0,18,2,57,,
Silken Beetle,Scuttle ~ Rare ~ Spring,1,0,18,2,58,,
Skritch Sucker,Flying ~ Rare ~ Winter,1,0,18,2,59,,
Snyder,Flying ~ Legendary ~ Spring,1,0,18,2,60,,
Sticking-it-to-the-Poors Parasite,Ground ~ Legendary ~ Winter,1,0,18,2,61,,
Too-long-lived Fly,Flying ~ Mythical ~ Winter,1,0,18,2,62,,
Trapped Moth,Halloween ~ Common ~ Fall Festival,1,0,18,2,63,,
Weeble,Ground ~ Mythical ~ Winter,1,0,18,2,64,,
9000-legged One,Ground ~ Rare ~ Winter,1,1,18,2,65,,
Acorn Fly,Flying ~ Common ~ Summer,1,1,18,2,66,,
Almost-semi-pro ‘competitor’,Flying ~ Legendary ~ Summer,1,1,18,2,67,,
Awkward Cuddler,Flying ~ Legendary ~ Winter,1,1,18,2,68,,
Bad Kisser,Scuttle ~ Mythical ~ Summer,1,1,18,2,69,,
Bee Butcher,Flying ~ Legendary ~ Fall,1,1,18,2,70,,
Beer Slug,Ground ~ Rare ~ Summer,1,1,18,2,71,,
Bloated Buzzer,Flying ~ Rare ~ Summer,1,1,18,2,72,,
Boolong Bug,Scuttle ~ Common ~ Fall,1,1,18,2,73,,
Bow Rosin Beetle,Scuttle ~ Rare ~ Fall,1,1,18,2,74,,
Brasshead,Flying ~ Legendary ~ Fall,1,1,18,2,75,,
Bread Moth,Flying ~ Common ~ Summer,1,1,18,2,76,,
Bullying Survivor,Ground ~ Rare ~ Spring,1,1,18,2,77,,
Canadian Pill Bug,Ground ~ Uncommon ~ Spring,1,1,18,2,78,,
Chamomille Aphid,Scuttle ~ Uncommon ~ Fall,1,1,18,2,79,,
Chestnut Grub,Ground ~ Common ~ Fall,1,1,18,2,80,,
Chubby Grubby,Ground ~ Uncommon ~ Spring,1,1,18,2,81,,
Citrine Beetle,Scuttle ~ Legendary ~ Summer,1,1,18,2,82,,
Commission Vampire,Scuttle ~ Rare ~ Summer,1,1,18,2,83,,
Common Bro Bug,Flying ~ Common ~ Summer,1,1,18,2,84,,
Connery Grub,Ground ~ Uncommon ~ Fall,1,1,18,2,85,,
Death of the patriarchy,Scuttle ~ Legendary ~ Fall,1,1,18,2,86,,
Devil’s Needle,Flying ~ Rare ~ Fall,1,1,18,2,87,,
Dickinson’s Mare,Flying ~ Rare ~ Summer,1,1,18,2,88,,
Dire Diarist,Flying ~ Uncommon ~ Summer,1,1,18,2,89,,
Discount Paste Beetle,Scuttle ~ Common ~ Summer,1,1,18,2,90,,
Dragonfly,Flying ~ Uncommon ~ Winter,1,1,18,2,91,,
Dung Beetle,Scuttle ~ Common ~ Winter,1,1,18,2,92,,
Eastern Firefly,Flying ~ Common ~ Fall,1,1,18,2,93,,
Edamame Molt,Ground ~ Common ~ Fall,1,1,18,2,94,,
Egg Podling,Ground ~ Rare ~ Fall,1,1,18,2,95,,
Elder Splurg,Ground ~ Legendary ~ Fall,1,1,18,2,96,,
Engineered Shrimp,Ground ~ Mythical ~ Summer,1,1,18,2,97,,
Eyeglass Bug,Flying ~ Uncommon ~ Fall,1,1,18,2,98,,
Failed Dreamer,Ground ~ Rare ~ Winter,1,1,18,2,99,,
Farm-bred Shrimp,Ground ~ Legendary ~ Summer,1,1,18,2,100,,
Faux-Kitten Midge,Flying ~ Common ~ Winter,1,1,18,2,101,,
Faux-Shrimp,Ground ~ Common ~ Summer,1,1,18,2,102,,
Florida Manbug,Scuttle ~ Uncommon ~ Winter,1,1,18,2,103,,
Flourless Grub,Ground ~ Rare ~ Spring,1,1,18,2,104,,
Fossil Aphid,Scuttle ~ Uncommon ~ Fall,1,1,18,2,105,,
Four-eyes,Ground ~ Uncommon ~ Summer,1,1,18,2,106,,
Friezapple,Ground ~ Uncommon ~ Winter,1,1,18,2,107,,
Fungus Grub,Ground ~ Common ~ Summer,1,1,18,2,108,,
Future Banker,Ground ~ Rare ~ Winter,1,1,18,2,109,,
Garden Slug,Ground ~ Common ~ Summer,1,1,18,2,110,,
Genial Face-eater Bug,Scuttle ~ Common ~ Summer,1,1,18,2,111,,
Gentle Ladybug,Scuttle ~ Common ~ Fall,1,1,18,2,112,,
Ghost Maringouin,Flying ~ Common ~ Fall,1,1,18,2,113,,
Glimworm,Flying ~ Mythical ~ Fall,1,1,18,2,114,,
GMO Soy Product,Ground ~ Legendary ~ Fall,1,1,18,2,115,,
Goddess’s Gift,Scuttle ~ Mythical ~ Fall,1,1,18,2,116,,
Gokupod,Ground ~ Common ~ Winter,1,1,18,2,117,,
Golden Arachnid,Scuttle ~ Legendary ~ Winter,1,1,18,2,118,,
Golden Sparkler,Flying ~ Legendary ~ Fall,1,1,18,2,119,,
Haptin Soldier,Scuttle ~ Rare ~ Fall,1,1,18,2,120,,
Hardened Suffragette,Scuttle ~ Uncommon ~ Fall,1,1,18,2,121,,
