Original order,Name,Description,NumberOfCheckboxes,NumberAlreadyCompleted,SectionID,GameID,ListOrder,LongDescription,Hidden
46,Through Thick + Thin,"Have a character follow you to the lowest trench + tallest peak - To have someone follow you, ask them to help you out in dialogue with them or use the Phone ""Call a Friend"" app. The lowest trench is in Rainbow Reef area while diving + the tallest peak is the top of Icy Peak.",1,1,81,4,1,,
47,Time for Milk,Have Milk as a 5 Star Visitor,1,0,81,4,1,,
48,Traveling Party,"Companion with one of your friends - Unlock the opportunity to companion with a character by increasing their Friendships. Then, ask them to help you out in dialogue with them or use the Phone ""Call a Friend"" app to make them your companion.",1,1,81,4,1,,
49,Tropical Challenge,Craft the Gold Seaside Trophy - Complete all the Challenge Courses in Seaside Resort to get the Crafting Plans for the Gold Seaside Trophy.,1,1,81,4,1,,
50,True Gamer,Play All the Mini Games Around Friendship Island - Mini Games are run by Nulls in each region of the map. Give them Game Tickets (collected around the ground of the map) to play the Mini Game.,1,1,81,4,1,,
51,Vacation Hot Spot,Repair twenty five visitor cabins - Approach Visitor Cabins + interact with the signposts out front to repair them with Strawberry Crates.,1,1,81,4,1,,
52,Volcanic Challenge,Craft the Gold Hothead Trophy - Complete all the Challenge Courses in Mount Hothead to get the Crafting Plans for the Gold Hothead Trophy.,1,0,81,4,1,,
53,Badtz-maru - Level 5 - Fish Whisperer,Increases chance of rare fish,1,1,82,4,1,,
54,Badtz-maru - Level 9 - Gamer,One free ticket use per day,1,1,82,4,1,,
55,Big Challenges - Level 19 - Vacuum,"When foraging, items will be automatically picked up",1,0,82,4,1,,
56,Chococat - Level 10 - Tour Guide,Get hints in puzzle rooms,1,1,82,4,1,,
57,Chococat - Level 5 - Master Crafter,Increases chance of getting extra item when crafting,1,1,82,4,1,,
58,Cinnamoroll - Level 18 - Soar,Float farther with balloons,1,1,82,4,1,,
59,Hangyodon - Level 10 - Fish Friend,Increases chance of rare fish appearing,1,1,82,4,1,,
60,Hangyodon - Level 5 - Speed Swimmer,Faster swimming speed,1,1,82,4,1,,
61,Hello Kitty - Level 12 - Everyone's Friend,Increases friendship 10% faster when gifting,1,1,82,4,1,,
62,Hello Kitty - Level 2 - Sous Chef,Increases chance of getting extra food item when cooking,1,1,82,4,1,,
63,Keroppi - Level 6 - Critter Calmer,Makes critters slower,1,1,82,4,1,,
64,Keroppi - Level 9 - Critter Friend,Helps keep critters from being startled,1,1,82,4,1,,
65,Kiki + Lala - Meteorology,Decreases time in-between weather events,1,0,82,4,1,,
66,Kuromi - Level 13 - Witchcraft,Potion powers last longer,1,1,82,4,1,,
67,Kuromi - Level 16 - Super Balloon,Height boost when using balloons,1,1,82,4,1,,
68,My Melody - Level 4 - Big Smile,Increases chance of getting an extra gift back when gifting to friends,1,1,82,4,1,,
69,My Melody - Level 9 - Handy Helper,Repairing visitor cabins costs 1 less strawberry crate,1,1,82,4,1,,
70,My Sweet Piano - Level 13 - Master Interior Designer,Reduces cost of customizing furniture,1,1,82,4,1,,
71,Pekkle - Level 13 - Dance All Night,Change time of day when talking to him,1,1,82,4,1,,
72,Pekkle - Level 7 - Speed Climbing,Faster climbing speed,1,1,82,4,1,,
73,Pochacco - Level 14 - Relay,Helps complete island challenges,1,1,82,4,1,,
74,Pochacco - Level 8 - Speed Walker,Faster walking speed,1,1,82,4,1,,
75,Pompompurin - Level 12 - Slow + Steady,Gives you 5 extra seconds to complete challenges,1,1,82,4,1,,
76,Pompompurin - Level 5 - Pudding Pants,Jump higher,1,1,82,4,1,,
77,Retsuko - Level 16 - Adrenaline,Recharge stamina faster,1,1,82,4,1,,
78,Retsuko - Level 19 - Hot Stuff,Swim in molten rock (Mount Hothead + Lava Caves),1,0,82,4,1,,
79,Tophat - Level 9 - Pickup Glitch,Increases chance of getting 2 items when picking up an item,1,1,82,4,1,,
80,Tuxedosam - Level 13 - Negotiator,Increases chance to get extra item when shopping,1,1,82,4,1,,
81,Tuxedosam - Level 7 - Fashionista,Increase outfit powers,1,1,82,4,1,,
82,Usahana - Level 4 - Chef's Kiss,Increases chance of getting an extra item when cooking with the Chef's station,1,0,82,4,1,,
83,Wish Me Mell - Level 11 - Master Gardener,Increases chance of getting a bonus seed when turning flowers into seed packets,1,0,82,4,1,,
84,Wish Me Mell - Level 13 - Precision Play,Reduces movement speed of the floating prizes in Crane Craze,1,0,82,4,1,,
85,Soda (common),anything else,1,1,83,4,1,,
86,Apple Soda (uncommon),Apple,1,1,83,4,2,,
87,Banana Soda (uncommon),Banana,1,1,83,4,2,,
88,Cream Soda (uncommon),Coral Milk,1,1,83,4,2,,
89,Fiery Soda #1 (Toasted Almond) (uncommon),Toasted Almond,1,1,83,4,2,,
90,Fiery Soda #2 (Magma Bloom) (uncommon),Magma Bloom,1,1,83,4,2,,
91,Fiery Soda #3 (Cinna Bloom) (uncommon),Cinna Bloom,1,1,83,4,2,,
92,Joke Soda (uncommon),Tofu,1,1,83,4,2,,
93,Pineapple Lava Soda (rare),Pineapple + Magma Bloom,1,1,83,4,2,,
94,Pochacco Energy Pop (uncommon),Tofu + Spinip,1,1,83,4,2,,
95,Pumpkin Spice Soda (rare),Cinna Bloom + Pumpkin,1,1,83,4,2,,
96,Sakura Soda (uncommon),Sakura,1,1,83,4,2,,
97,Strawberry Soda (uncommon),Strawberry,1,1,83,4,2,,
98,Surprising Soda (rare),Toasted Almond + Spinip,1,1,83,4,2,,
99,Swampy Soda #1 (Spinip) (uncommon),Spinip,1,1,83,4,2,,
100,Swampy Soda #2 (Pumpkin) (uncommon),Pumpkin,1,1,83,4,2,,
101,Sweet Soda #1 (Candy Cloud) (uncommon),Candy Cloud,1,1,83,4,2,,
102,Sweet Soda #2 (Sugarkelp) (uncommon),Sugarkelp,1,1,83,4,2,,
103,Sweet Soda #3 (Swampmellow) (uncommon),Swampmallow,1,1,83,4,2,,
104,Tropical Soda (Pineapple) (uncommon),Pineapple,1,1,83,4,2,,
105,z 50th Anniversary Soda (rare) (event Hello Kitty's 50th Anniversary),Bubble,1,0,83,4,3,,
106,Candlenut Coffee (common),anything else,1,1,84,4,1,,
107,Candied Banana Coffee (rare),Banana + Candy Cloud,1,1,84,4,2,,
108,Cappuccino (uncommon),Coral Milk,1,1,84,4,2,,
109,Chai #1 (Cinna Bloom) (uncommon) ,Cinna Bloom ,1,1,84,4,2,,
110,Chai #2 (Magma Bloom) (uncommon) ,Magma Bloom,1,1,84,4,2,,
111,Chocolate Chai #1 (Cinna Bloom) (uncommon) ,Chocolate Coin + Cinna Bloom,1,1,84,4,2,,
112,Chocolate Chai #2 (Magma Bloom) (uncommon) ,Chocolate Coin + Magma Bloom,1,1,84,4,2,,
113,Confusing Coffee (uncommon),Moon Cheese,1,1,84,4,2,,
114,Egg Coffee (uncommon),Egg,1,1,84,4,2,,
115,Espresso (uncommon),Cinna Bloom + Magma Bloom,1,1,84,4,2,,
116,Frappe (uncommon),Snowcicle,1,1,84,4,2,,
117,Hot Cocoa (uncommon),Coral Milk + Chocolate Coin,1,1,84,4,2,,
118,Mocha (uncommon),Chocolate Coin,1,1,84,4,2,,
119,Molten Frappe (uncommon),Snowcicle + Magma Bloom,1,1,84,4,2,,
120,Pink Latte #1 (uncommon) ,Strawberry,1,1,84,4,2,,
121,Pink Latte #2 (uncommon) ,Sakura,1,1,84,4,2,,
122,Purple Latte (uncommon),Spinip,1,1,84,4,2,,
123,Sakura Frappe (uncommon),Snowcicle + Sakura,1,1,84,4,2,,
124,Spicy Pumpkin Latte (rare),Cinna Bloom + Pumpkin,1,1,84,4,2,,
125,Sweet Frappe (uncommon),Snowcicle + Sugarkelp,1,1,84,4,2,,
126,Sweet Latte #1 (Candy Cloud) (uncommon),Candy Cloud,1,1,84,4,2,,
127,Sweet Latte #2 (Sugarkelp) (uncommon),Sugarkelp,1,1,84,4,2,,
128,Sweet Latte #3 (Swampmallow) (uncommon),Swampmallow,1,1,84,4,2,,
129,Toasted Almond Coffee (uncommon),Toasted Almond,1,1,84,4,2,,
130,z 50th Anniversary Frappe (rare) (event Hello Kitty's 50th Anniversary),Snowcicle + Bubble,1,0,84,4,3,,
131,z 50th Anniversary Latte (rare) (event Hello Kitty's 50th Anniversary),Bubble,1,0,84,4,3,,
132,Pizza (common),anything else,1,1,85,4,1,,
133,Alfredo Pizza (uncommon),Coral Milk,1,1,85,4,2,,
134,Breakfast Pizza (uncommon),Egg,1,1,85,4,2,,
135,Dessert Pizza #1 (Candy Cloud) (uncommon) ,Candy Cloud,1,1,85,4,2,,
136,Dessert Pizza #2 (Sugarkelp) (uncommon) ,Sugarkelp,1,1,85,4,2,,
137,Dessert Pizza #3 (Swampmallow) (uncommon) ,Swampmallow,1,1,85,4,2,,
138,Everything Pizza (rare),Spinip + Tofu,1,1,85,4,2,,
139,Fruit Pizza #1 (Apple) (uncommon) ,Apple,1,1,85,4,2,,
140,Fruit Pizza #2 (Banana) (uncommon) ,Banana,1,1,85,4,2,,
141,Fruit Pizza #3 (Strawberry) (uncommon) ,Strawberry,1,1,85,4,2,,
142,Fruit Pizza #4 (Starfruit) (uncommon) ,Starfruit,1,1,85,4,2,,
143,Pineapple Pizza (uncommon),Pineapple,1,1,85,4,2,,
144,Quattro Formaggi Pizza (rare),Moon Cheese + Coral Milk,1,1,85,4,2,,
145,Spicy Pizza #1 (Magma Bloom)(uncommon),Magma Bloom,1,1,85,4,2,,
146,Spicy Pizza #2 (Cinna Bloom) (uncommon),Cinna Bloom,1,1,85,4,2,,
147,Spinip Alfredo Pizza (Gold),Spinip + Coral Milk,1,1,85,4,2,,
148,Three Cheese Pizza (uncommon),Moon Cheese,1,1,85,4,2,,
149,Toasty Pizza (uncommon),Toasted Almond,1,1,85,4,2,,
150,Tofu Pizza (uncommon),Tofu,1,1,85,4,2,,
151,Ultimate Joke Pizza (Gold),Pineapple + Tofu,1,1,85,4,2,,
152,Veggie Pizza #1 (Spinip) (uncommon),Spinip,1,1,85,4,2,,
153,Veggie Pizza #2 (Pumpkin) (uncommon),Pumpkin,1,1,85,4,2,,
154,z 50th Anniversary Pizza Cookie #1 (Candy Cloud) (rare) (event Hello Kitty's 50th Anniversary),Candy Cloud + Bubble,1,0,85,4,3,,
155,z 50th Anniversary Pizza Cookie #2 (Sugarkelp) (rare) (event Hello Kitty's 50th Anniversary),Sugarkelp + Bubble,1,0,85,4,3,,
156,z 50th Anniversary Pizza Cookie #3 (Swampmallow) (rare) (event Hello Kitty's 50th Anniversary),Swampmallow + Bubble,1,0,85,4,3,,
157,Pastry (common),Candycloud,1,1,86,4,1,,
158,Almond Pound Cake (uncommon),Almond + Candy Cloud,1,1,86,4,2,,
159,Beignet with Pineapple Dip (uncommon),Pineapple + Candy Cloud,1,1,86,4,2,,
160,Cake (common),anything else,1,1,86,4,2,,
161,Cheesecake (uncommon),Moon Cheese,1,1,86,4,2,,
162,Chiffon Cake (rare),Egg + Cinna Bloom,1,1,86,4,2,,
163,Chocolate Balls (uncommon),Chocolate Coin,1,1,86,4,2,,
164,Chocolate cheesecake (uncommon),Moon Cheese + Chocolate Coin,1,1,86,4,2,,
165,Cinnamon Bread #1 (Cinna Bloom) (rare),Cinna Bloom,1,1,86,4,2,,
166,Cinnamon Bread #2 (Magma Bloom) (rare),Magma Bloom,1,1,86,4,2,,
167,Cinnamon Roll (rare),Cinna Bloom + Candy Cloud,1,1,86,4,2,,
168,Confetti Cake (legendary) (event Happy Haven Days),Rainbow Sprinkles,1,1,86,4,2,,
169,Egg tart (uncommon),Egg,1,1,86,4,2,,
170,Fruit Tart #1 (Apple) (rare),Egg + Apple,1,1,86,4,2,,
171,Fruit Tart #2 (Banana) (rare),Egg + Banana,1,1,86,4,2,,
172,Fruit Tart #3 (Pineapple) (rare),Egg + Pineapple,1,1,86,4,2,,
173,Fruit Tart #4 (Starfruit) (rare),Egg + Starfruit,1,1,86,4,2,,
174,Fruit Tart #5 (Strawberry) (rare),Egg + Strawberry,1,1,86,4,2,,
175,Fruity Cheesecake #1 (Apple) (uncommon),Moon Cheese + Apple,1,1,86,4,2,,
176,Fruity Cheesecake #2 (Banana) (uncommon),Moon Cheese + Banana,1,1,86,4,2,,
177,Fruity Cheesecake #3 (Starfruit) (uncommon),Moon Cheese + Starfruit,1,1,86,4,2,,
178,Fruity Cheesecake #4 (Pineapple) uncommon),Moon Cheese + Pineapple,1,1,86,4,2,,
179,Macaron (uncommon),Toasted Almonds,1,1,86,4,2,,
180,Mama's Apple Pie (uncommon),Apple,1,1,86,4,2,,
181,Milk Bread (common),Coral Milk,1,1,86,4,2,,
182,Nutty Tart (rare),Egg + Toasted Almond,1,1,86,4,2,,
183,Pineapple Stack Cake (uncommon),Pineapple,1,1,86,4,2,,
184,Pumpkin Pie (uncommon),Pumpkin,1,1,86,4,2,,
185,Purple Cheesecake (uncommon),Moon Cheese + Spinip,1,1,86,4,2,,
186,Red Bow Apple Pie (rare),Apple + Magma Bloom,1,1,86,4,2,,
187,Sakura Cake (uncommon),Sakura,1,1,86,4,2,,
188,Sakura Cheesecake (uncommon),Moon Cheese + Sakura,1,1,86,4,2,,
189,Spiced Cheesecake #1 (Magma Bloom) (uncommon),Moon Cheese + Magma Bloom,1,1,86,4,2,,
190,Spiced Cheesecake #2 (Cinna Bloom) (uncommon),Moon Cheese + Cinna Bloom,1,1,86,4,2,,
191,Spooky Cake (uncommon),Pumpkin + Swampmallow,1,1,86,4,2,,
192,Strawberry Almond Gallette (uncommon),Strawberry + Almond,1,1,86,4,2,,
193,Strawberry Cheesecake (uncommon),Moon Cheese + Strawberry,1,1,86,4,2,,
194,Strawberry Shortcake (uncommon),Strawberry,1,1,86,4,2,,
195,Sugarkelp Cakes (uncommon),Sugarkelp,1,1,86,4,2,,
196,Sweet Custard Tart #1 (Candy Cloud) (rare),Egg + Candy Cloud,1,1,86,4,2,,
197,Sweet Custard Tart #2 (Swampmallow) (rare),Egg + Swampmallow,1,1,86,4,2,,
198,Sweet Custard Tart #3 (Sugarkelp) (rare),Egg + Sugarkelp,1,1,86,4,2,,
199,Tofu Bread (uncommon),Tofu,1,1,86,4,2,,
200,Turtle Cheesecake (uncommon),Moon Cheese + Toasted Almond,1,1,86,4,2,,
201,Veggie Bread (rare),Spinip,1,1,86,4,2,,
202,Veggie Tart #1 (Pumpkin) (rare),Egg + Pumpkin,1,1,86,4,2,,
203,Veggie Tart #2 (Spinip) (rare),Egg + Spinip,1,1,86,4,2,,
204,Volcano Cake (rare),Magma Bloom + Chocolate Coin,1,1,86,4,2,,
205,z 50th Anniversary Cake (rare) (event Hello Kitty's 50th Anniversary),Bubble,1,0,86,4,3,,
206,z 50th Anniversary Cheesecake (rare) (event Hello Kitty's 50th Anniversary),Moon Cheese + Bubble,1,0,86,4,3,,
207,Ice Cream (common),anything else,1,1,87,4,1,,
208,Apple Ice Cream (uncommon),Apple,1,1,87,4,2,,
209,Banana Ice Cream (uncommon),Banana,1,1,87,4,2,,
210,Banana Shake (uncommon),Snowcicle + Banana,1,1,87,4,2,,
211,Birthday Cake Shake (rare) (Happy Haven Days event),Snowcicle + Rainbow Sprinkles,1,1,87,4,2,,
212,Boulder Bits Ice Cream (rare),Chocolate Coin + Swampmallow,1,1,87,4,2,,
213,Chai Shake #1 (Cinna Bloom) (rare),Snowcicle + Cinna Bloom,1,1,87,4,2,,
214,Chai Shake #2 (Magma Bloom) (rare),Snowcicle + Magma Bloom,1,1,87,4,2,,
215,Cheese Ice Cream (uncommon),Moon Cheese,1,1,87,4,2,,
216,Chocolate Ice Cream (uncommon),Chocolate Coin,1,1,87,4,2,,
217,Chocolate Pineapple Pudding (uncommon),Pineapple + Chocolate Coin,1,1,87,4,2,,
218,Chocolate Shake (uncommon),Snowcicle + Chocolate Coin,1,1,87,4,2,,
219,Cinna Ice Cream (uncommon),Cinna Bloom,1,1,87,4,2,,
220,Cookie Nut Shake (rare),Snowcicle + Toasted Almond,1,1,87,4,2,,
221,Double Cream Shake (rare),Snowcicle + Moon Cheese,1,1,87,4,2,,
222,Magma Pudding (uncommon),Magma Bloom,1,1,87,4,2,,
223,Mama's Pudding (uncommon),Banana + Coral Milk,1,1,87,4,2,,
224,Old-Fashioned Ice Cream (uncommon),Egg,1,1,87,4,2,,
225,Pink Clouds Ice Cream (rare),Candy Cloud + Sakura,1,1,87,4,2,,
226,Pudding (common),Coral Milk,1,1,87,4,2,,
227,Pumpkin Pudding (common),Pumpkin,1,1,87,4,2,,
228,Purple Pudding (common),Spinip,1,1,87,4,2,,
229,Sakura Pudding (uncommon),Sakura,1,1,87,4,2,,
230,Sakura Shake (rare),Snowcicle + Sakura,1,1,87,4,2,,
231,Spiced Pumpkin Shake (rare),Snowcicle + Pumpkin,1,1,87,4,2,,
232,Starry Skies Shake (rare),Snowcicle + Starfruit,1,1,87,4,2,,
233,Strawberry Ice Cream (uncommon),Strawberry,1,1,87,4,2,,
234,Strawberry Shake (uncommon),Snowcicle + Strawberry,1,1,87,4,2,,
235,Sweet Pudding #1 (Sugarkelp) (uncommon) ,Sugarkelp,1,1,87,4,2,,
236,Sweet Pudding #2 (Swampmellow) (uncommon) ,Swampmellow,1,1,87,4,2,,
237,Sweet Pudding #3 (Candy Cloud) (uncommon) ,Candy Cloud,1,1,87,4,2,,
238,Tofu Pudding (uncommon),Tofu,1,1,87,4,2,,
239,Tropical Shake (rare),Snowcicle + Pineapple,1,1,87,4,2,,
240,Vanilla Shake (uncommon),Snowcicle,1,1,87,4,2,,
241,z 50th Anniversary Shake (rare) (Hello Kitty's 50th Anniversaryevent),Snowcicle + Bubble,1,0,87,4,3,,
242,Crepe (uncommon),Flour,1,1,88,4,1,,
243,Omelette (common),anything else,1,1,88,4,1,,
244,Cheese Crepe (rare),Flour + Moon Cheese,1,1,88,4,2,,
245,Chocolate Crepe (rare),Flour + Chocolate Coin,1,1,88,4,2,,
246,Fantasy Omelette (uncommon),Candy Cloud,1,1,88,4,2,,
247,Fluffy Omelet (uncommon),Moon Cheese,1,1,88,4,2,,
248,Fruit Crepe #1 (Apple) (rare),Flour + Apple,1,1,88,4,2,,
249,Fruit Crepe #2 (Banana) (rare),Flour + Banana,1,1,88,4,2,,
250,Fruit Crepe #3 (Pineapple) (rare),Flour + Pineapple,1,1,88,4,2,,
251,Fruit Crepe #4 (Starfruit) (rare),Flour + Starfruit,1,1,88,4,2,,
252,Fruit Crepe #5 (Strawberry) (rare),Flour + Strawberry,1,1,88,4,2,,
253,Hearty Omelet (rare),Moon Cheese + Spinip,1,1,88,4,2,,
254,Nutty Crepe (rare),Flour + Toasted Almond,1,1,88,4,2,,
255,Protein Omelette (uncommon),Tofu,1,1,88,4,2,,
256,Spiced Crepe #1 (Cinna Bloom) (rare),Flour + Cinna Bloom,1,1,88,4,2,,
257,Spiced Crepe #2 (Magma Bloom) (rare),Flour + Magma Bloom,1,1,88,4,2,,
258,Sweet Crepe #1 (Candy Cloud) (rare),Flour + Candy Cloud,1,1,88,4,2,,
259,Sweet Crepe #2 (Sugarkelp) (rare),Flour + Sugarkelp,1,1,88,4,2,,
260,Sweet Crepe #3 (Swampmallow) (rare),Flour + Swampmallow,1,1,88,4,2,,
261,Veggie Crepe #1 (Pumpkin) (rare),Flour + Pumpkin,1,1,88,4,2,,
262,Veggie Crepe #2 (Spinip) rare),Flour + Spinip,1,1,88,4,2,,
263,Veggie Omelette #1 (Pumpkin) uncommon),Pumpkin,1,1,88,4,2,,
264,Veggie Omelette #2 (Spinip) uncommon),Spinip,1,1,88,4,2,,
265,Veggie Supreme Omelet (rare),Pumpkin + Spinip,1,1,88,4,2,,
266,Boba,anything else,1,0,89,4,1,,
267,Apple Boba,Apple,1,0,89,4,2,,
268,Banana Boba,Banana,1,0,89,4,2,,
269,Cheesy Boba,Moon Cheese,1,0,89,4,2,,
270,Chocolate Boba,Chocolate Coin,1,0,89,4,2,,
271,Cinnamon Boba,Cinna Bloom,1,0,89,4,2,,
272,Coffee Boba,Candlenut,1,0,89,4,2,,
273,Egg Boba,Egg,1,0,89,4,2,,
274,Frosty Boba,Snowcicle,1,0,89,4,2,,
275,Magical Boba,Glow Berry,1,0,89,4,2,,
276,Nutty Boba,Toasted Almond,1,0,89,4,2,,
277,Pineapple Boba,Pineapple,1,0,89,4,2,,
278,Pumpkin Boba,Pumpkin,1,0,89,4,2,,
279,Rich Boba,Tofu,1,0,89,4,2,,
280,Sakura Boba,Sakura,1,0,89,4,2,,
281,Spicy Boba,Magma Bloom,1,0,89,4,2,,
282,Starry Boba,Starfruit,1,0,89,4,2,,
283,Strawberry Boba,Strawberry,1,0,89,4,2,,
284,Veggie Boba,Spinip,1,0,89,4,2,,
285,Wheat Boba,Flour,1,0,89,4,2,,
286,z 50th Anniversary Boba (Hello Kitty 50th Anniversary event),Bubble,1,0,89,4,3,,
287,Milk Tea,anything else,1,0,90,4,1,,
288,Apple Milk,Apple,1,0,90,4,2,,
289,Banana Milk,Banana,1,0,90,4,2,,
290,Cheesy Milk,Moon Cheese,1,0,90,4,2,,
291,Chocolate Milk,Chocolate Coin,1,0,90,4,2,,
292,Cinnamon Milk,Cinna Bloom,1,0,90,4,2,,
293,Coffee Milk,Candlenut,1,0,90,4,2,,
294,Confetti Milk,Rainbow Sprinkles,1,0,90,4,2,,
295,Egg Milk,Egg,1,0,90,4,2,,
296,Frosty Milk,Snowcicle,1,0,90,4,2,,
297,Magical Milk,Glow Berry,1,0,90,4,2,,
298,Nutty Milk,Toasted Almond,1,0,90,4,2,,
